Title,Program Type,Description,Date
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Lab Blast for Groups,"Family Program, Workshop or Trip","Join us for a wild ride through science, where we will explore different phenomena including buoyancy, water tension and gas expansion. Brightly colored foam tsunamis and loud (controlled) explosions will punctuate this one-hour science experience.",06/10/2015 - 10:00am
Longleaf Lifelong Hike II,Workshop or Trip,"We will continue exploring the longleaf pine restoration efforts in the sandhills with Jeff Marcus, NC Nature Conservancy, who led our visit in March.",09/30/2015 - 8:00am
Marine Invertebrates Dissection Class,"Family Program, Workshop or Trip","Participants will dissect a squid, a clam, and a blue crab to explore the inner and outer structures of these marine invertebrates.",09/15/2015 - 10:00am
Marine Vertebrates Dissection Class,"Family Program, Workshop or Trip",Participants will dissect and examine internal as well as external structures of bony and cartilaginous fish.,09/29/2015 - 10:00am
Math You Can Use,Family Program,In this class students will actually have fun with math by first learning a couple of easy formulas then going out in the museum to apply them.,10/21/2015 - 10:00am
Medoc Mountain Lifelong Hike,Workshop or Trip,"Our hike will explore the geology, plants and animals of this rare вЂњcoastal plain mountainвЂќ.",11/18/2015 - 8:30am
"Member Exclusive: Director's Adventure to Alberta, Canada",Workshop or Trip,"Experience three majestic landscapes each with a fascinating natural and human history, with Museum Director and geologist Emlyn Koster.",08/23/2015 - 9:00am
Museum paleontologists live from Utah,Science Talks,"Come to the Daily Planet Theater at the Museum to speak with project scientists in real-time, or if you canвЂ™t make it, tweet questions to us while watching us live!",08/04/2015 - 11:00am
